[2019-03-26 18:00:03] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF46B7A832C69A6042F","message_body_md5":"7CE65AEFD11BC82C5957A9255527E060","message_body":"{\"id\":63,\"ac\":\"QC\"}","body":"{\"id\":63,\"ac\":\"QC\"}","receipt_handle":"8-8zu9rA8Fwz4Vz3zl0z0z8NZzaRghoPd0tLy","next_visible_time":"1553594711821","enqueue_time":"1553570325926","first_dequeue_time":"1553593414708","dequeue_count":"4","priority":"8"}
[2019-03-26 18:00:03] 	 DEBUG: temp {"id":63,"ac":"QC"}
[2019-03-26 18:00:03] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47F8D84818D63B4F4","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-8zu9rA8Fwz4Vz3zl0z1z8NZzcSXEAyFBQ73","next_visible_time":"1553594711821","enqueue_time":"1553592682852","first_dequeue_time":"1553593414708","dequeue_count":"4","priority":"8"}
[2019-03-26 18:00:03] 	 DEBUG: temp {"id":65,"ac":"QC"}
[2019-03-26 18:00:03] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47FB88481E0812AC5","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-8zu9rA8Fwz4Vz3zl0z2z8NZzcTZMOBn3sO8","next_visible_time":"1553594711821","enqueue_time":"1553592704129","first_dequeue_time":"1553593414708","dequeue_count":"4","priority":"8"}
[2019-03-26 18:00:03] 	 DEBUG: temp {"id":65,"ac":"QC"}
[2019-03-26 18:00:03] 	 DEBUG: reset sleep
[2019-03-26 18:00:03] 	 DEBUG: mq_consume: 2 msgs
[2019-03-26 18:00:03] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47FE3849046FE7A58","message_body_md5":"C9CCFA0205405A33A17BF722C8BCD587","message_body":"{\"id\":66,\"ac\":\"QC\"}","body":"{\"id\":66,\"ac\":\"QC\"}","receipt_handle":"8-6zu9rA8N1z4Vzdzl1z0z8NZzcV1V3NFMbaF","next_visible_time":"1553594712278","enqueue_time":"1553593647870","first_dequeue_time":"1553593708784","dequeue_count":"3","priority":"8"}
[2019-03-26 18:00:03] 	 DEBUG: temp {"id":66,"ac":"QC"}
[2019-03-26 18:00:03] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47FC184835C5F2124","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-6zu9rA8N1z4Vzdzl1z1z8NZzcUcZT4d9nD4","next_visible_time":"1553594712278","enqueue_time":"1553592801375","first_dequeue_time":"1553593415266","dequeue_count":"4","priority":"8"}
[2019-03-26 18:00:03] 	 DEBUG: temp {"id":65,"ac":"QC"}
[2019-03-26 18:00:05] 	 DEBUG: reset sleep
[2019-03-26 18:00:05] 	 DEBUG: mq_consume: 3 msgs
[2019-03-26 18:00:05] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47FC28495624646E1","message_body_md5":"2E076E68D6429E3AA8BEED6C5BF3B118","message_body":"{\"id\":67,\"ac\":\"QC\"}","body":"{\"id\":67,\"ac\":\"QC\"}","receipt_handle":"8-4zu9rA9gcz4Vz3zl2z0z8NZzcUessWywEYM","next_visible_time":"1553594714058","enqueue_time":"1553593982534","first_dequeue_time":"1553593989062","dequeue_count":"2","priority":"8"}
[2019-03-26 18:00:05] 	 DEBUG: temp {"id":67,"ac":"QC"}
[2019-03-26 18:00:05] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF47F84847AD42B0117","message_body_md5":"79B45A80A6F5BCC018B84796D04D12CC","message_body":"{\"id\":64,\"ac\":\"QC\"}","body":"{\"id\":64,\"ac\":\"QC\"}","receipt_handle":"8-4zu9rA9gcz4Vz3zl2z1z8NZzcSKquFbacIK","next_visible_time":"1553594714058","enqueue_time":"1553592242219","first_dequeue_time":"1553593416269","dequeue_count":"4","priority":"8"}
[2019-03-26 18:00:05] 	 DEBUG: temp {"id":64,"ac":"QC"}
[2019-03-26 18:00:05] 	 DEBUG: msg: {"message_id":"BEF6FD6A208E7FF4511E847FA33DC73A","message_body_md5":"B767A7DD8BC88CBE4EB31E03A6103491","message_body":"{\"id\":65,\"ac\":\"QC\"}","body":"{\"id\":65,\"ac\":\"QC\"}","receipt_handle":"8-4zu9rA9gcz4Vz3zl2z2z8NZz8bQvw3IQSRQ","next_visible_time":"1553594714058","enqueue_time":"1553592557373","first_dequeue_time":"1553593416269","dequeue_count":"4","priority":"8"}
[2019-03-26 18:00:05] 	 DEBUG: temp {"id":65,"ac":"QC"}
[2019-03-26 18:00:11] 	 DEBUG: sleep 2s
[2019-03-26 18:00:18] 	 DEBUG: sleep 4s
[2019-03-26 18:00:27] 	 DEBUG: sleep 8s
[2019-03-26 18:00:41] 	 DEBUG: sleep 16s
